document_name,doc_type,page,item_id,item_text,platform,risk,acceptance_expected,status,messy_flag
Document 5 - OQ - Heart Rate Monitor Application,OQ,65,OQ-065-01,Handle offline mode,Bluetooth Sensor,High,Audit/event record shall be generated where applicable.,Pending QA,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,65,OQ-065-02,Battery and Bluetooth warning,Local DB,TBD,Audit/event record shall be generated where applicable.,Approved?,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,65,OQ-065-03,Consent capture and privacy notice,Backend API,TBD,Data shall be encrypted in transit and at rest.,Pending QA,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,65,OQ-065-04,Generate high/low heart-rate alert,iOS,Not ranked,Result must be visible in mobile UI within expected time.,In Review,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,65,OQ-065-05,Show trend chart for 7/30/90 days,Notification Service,TBD,Data shall be encrypted in transit and at rest.,Draft,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,66,OQ-066-01,Store readings securely on device,Bluetooth Sensor,Low,Result must be visible in mobile UI within expected time.,Need SME,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,66,OQ-066-02,Battery and Bluetooth warning,iOS,TBD,System shall complete the action without data loss.,In Review,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,66,OQ-066-03,Sync readings to cloud API,Android/iOS,Not ranked,Audit/event record shall be generated where applicable.,In Review,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,66,OQ-066-04,Consent capture and privacy notice,Android/iOS,High,Data shall be encrypted in transit and at rest.,Draft,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,66,OQ-066-05,Validate sensor data range,Android,TBD,Data shall be encrypted in transit and at rest.,Need SME,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,67,OQ-067-01,Manual heart rate entry when device unavailable,Cloud Sync,Low,Data shall be encrypted in transit and at rest.,Pending QA,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,67,OQ-067-02,Audit user actions,Local DB,High,System shall complete the action without data loss.,Pending QA,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,67,OQ-067-03,Store readings securely on device,Local DB,Not ranked,Data shall be encrypted in transit and at rest.,Approved?,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,67,OQ-067-04,Store readings securely on device,Local DB,High,Audit/event record shall be generated where applicable.,Pending QA,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,67,OQ-067-05,Consent capture and privacy notice,Local DB,Low,Audit/event record shall be generated where applicable.,Rejected once,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,68,OQ_68.1,Show trend chart for 7/30/90 days,Cloud Sync,High,Result must be visible in mobile UI within expected time.,Rejected once,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,68,OQ-068-02,Support caregiver view,Local DB,TBD,User shall receive clear error message on failure.,Approved?,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,68,OQ-068-03,Notification retry and suppression,Cloud Sync,TBD,TBD by clinical SME - intentionally incomplete.,Need SME,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,68,OQ-068-04,Display current BPM with timestamp,Local DB,High,Data shall be encrypted in transit and at rest.,In Review,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,68,OQ-068-05,Display current BPM with timestamp,Bluetooth Sensor,TBD,TBD by clinical SME - intentionally incomplete.,Pending QA,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,69,OQ-069-01,Biometric login option,Cloud Sync,Medium,User shall receive clear error message on failure.,Rejected once,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,69,OQ_69.2,Handle offline mode,Android/iOS,TBD,User shall receive clear error message on failure.,Rejected once,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,69,OQ_69.3,Manual heart rate entry when device unavailable,Android,Not ranked,Audit/event record shall be generated where applicable.,Draft,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,69,OQ-069-04,Biometric login option,Cloud Sync,TBD,Result must be visible in mobile UI within expected time.,Draft,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,69,OQ_69.5,Battery and Bluetooth warning,iOS,Medium,User shall receive clear error message on failure.,Draft,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,70,OQ-070-01,Capture heart rate from paired device,Local DB,TBD,System shall complete the action without data loss.,Rejected once,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,70,OQ-070-02,Capture heart rate from paired device,Bluetooth Sensor,Medium,Result must be visible in mobile UI within expected time.,In Review,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,70,OQ-070-03,Notification retry and suppression,Cloud Sync,Low,User shall receive clear error message on failure.,Draft,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,70,OQ_70.4,Store readings securely on device,Cloud Sync,Medium,System shall complete the action without data loss.,Need SME,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,70,OQ-070-05,Capture heart rate from paired device,Bluetooth Sensor,High,System shall complete the action without data loss.,Rejected once,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,71,OQ_71.1,Biometric login option,Local DB,TBD,Result must be visible in mobile UI within expected time.,Draft,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,71,OQ_71.2,Manual heart rate entry when device unavailable,Local DB,Low,Result must be visible in mobile UI within expected time.,In Review,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,71,OQ_71.3,Store readings securely on device,Backend API,Medium,Audit/event record shall be generated where applicable.,Rejected once,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,71,OQ_71.4,Notification retry and suppression,Local DB,Not ranked,TBD by clinical SME - intentionally incomplete.,Approved?,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,71,OQ-071-05,Manual heart rate entry when device unavailable,Android,Medium,Result must be visible in mobile UI within expected time.,Need SME,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,72,OQ-072-01,Display current BPM with timestamp,Local DB,Not ranked,Audit/event record shall be generated where applicable.,Need SME,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,72,OQ_72.2,Biometric login option,Cloud Sync,Medium,Data shall be encrypted in transit and at rest.,Draft,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,72,OQ-072-03,Capture heart rate from paired device,Backend API,High,Audit/event record shall be generated where applicable.,Pending QA,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,72,OQ-072-04,Export readings as PDF/CSV,Backend API,Not ranked,Result must be visible in mobile UI within expected time.,Need SME,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,72,OQ-072-05,Show trend chart for 7/30/90 days,Android,High,User shall receive clear error message on failure.,Rejected once,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,73,OQ_73.1,Validate sensor data range,Notification Service,Medium,Data shall be encrypted in transit and at rest.,Need SME,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,73,OQ_73.2,Biometric login option,Android/iOS,High,User shall receive clear error message on failure.,Draft,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,73,OQ-073-03,Manual heart rate entry when device unavailable,Android/iOS,TBD,System shall complete the action without data loss.,Rejected once,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,73,OQ-073-04,Sync readings to cloud API,Cloud Sync,Medium,Result must be visible in mobile UI within expected time.,Approved?,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,73,OQ-073-05,Support caregiver view,Local DB,TBD,User shall receive clear error message on failure.,Rejected once,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,74,OQ-074-01,Handle offline mode,Bluetooth Sensor,Not ranked,TBD by clinical SME - intentionally incomplete.,Need SME,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,74,OQ-074-02,Show trend chart for 7/30/90 days,Bluetooth Sensor,TBD,Data shall be encrypted in transit and at rest.,Draft,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,74,OQ-074-03,Support caregiver view,Local DB,Medium,Audit/event record shall be generated where applicable.,Approved?,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,74,OQ-074-04,Handle offline mode,Android,Low,Data shall be encrypted in transit and at rest.,Pending QA,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,74,OQ-074-05,Export readings as PDF/CSV,Local DB,Low,Data shall be encrypted in transit and at rest.,Need SME,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,75,OQ_75.1,Validate sensor data range,Bluetooth Sensor,Not ranked,User shall receive clear error message on failure.,Approved?,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,75,OQ-075-02,Validate sensor data range,Notification Service,High,User shall receive clear error message on failure.,Approved?,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,75,OQ-075-03,Validate sensor data range,Bluetooth Sensor,Not ranked,System shall complete the action without data loss.,Rejected once,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,75,OQ-075-04,Sync readings to cloud API,Backend API,High,Result must be visible in mobile UI within expected time.,Pending QA,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,75,OQ-075-05,Consent capture and privacy notice,Android,Low,User shall receive clear error message on failure.,Need SME,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,76,OQ_76.1,Generate high/low heart-rate alert,Local DB,Low,System shall complete the action without data loss.,Draft,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,76,OQ-076-02,Battery and Bluetooth warning,Android/iOS,Medium,Audit/event record shall be generated where applicable.,Draft,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,76,OQ-076-03,Handle offline mode,iOS,Low,User shall receive clear error message on failure.,Draft,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,76,OQ_76.4,Handle offline mode,Notification Service,TBD,User shall receive clear error message on failure.,Need SME,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,76,OQ-076-05,Display current BPM with timestamp,Bluetooth Sensor,Low,System shall complete the action without data loss.,Need SME,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,77,OQ_77.1,Battery and Bluetooth warning,iOS,High,Data shall be encrypted in transit and at rest.,Rejected once,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,77,OQ-077-02,Support caregiver view,Android,TBD,Data shall be encrypted in transit and at rest.,Need SME,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,77,OQ-077-03,Sync readings to cloud API,Android,TBD,Data shall be encrypted in transit and at rest.,Approved?,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,77,OQ-077-04,Biometric login option,Backend API,TBD,Data shall be encrypted in transit and at rest.,Pending QA,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,77,OQ_77.5,Display current BPM with timestamp,Backend API,Low,Audit/event record shall be generated where applicable.,In Review,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,78,OQ-078-01,Capture heart rate from paired device,Local DB,Not ranked,Audit/event record shall be generated where applicable.,Need SME,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,78,OQ-078-02,Battery and Bluetooth warning,Bluetooth Sensor,Not ranked,System shall complete the action without data loss.,Pending QA,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,78,OQ-078-03,Notification retry and suppression,Cloud Sync,Medium,User shall receive clear error message on failure.,In Review,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,78,OQ_78.4,Biometric login option,Backend API,High,Data shall be encrypted in transit and at rest.,Pending QA,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,78,OQ-078-05,Capture heart rate from paired device,Backend API,TBD,Data shall be encrypted in transit and at rest.,Draft,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,79,OQ-079-01,Manual heart rate entry when device unavailable,Backend API,Low,Result must be visible in mobile UI within expected time.,In Review,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,79,OQ-079-02,Battery and Bluetooth warning,iOS,Low,User shall receive clear error message on failure.,Draft,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,79,OQ-079-03,Biometric login option,Android,High,TBD by clinical SME - intentionally incomplete.,In Review,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,79,OQ-079-04,Audit user actions,iOS,Not ranked,User shall receive clear error message on failure.,Approved?,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,79,OQ_79.5,Generate high/low heart-rate alert,Notification Service,High,System shall complete the action without data loss.,Need SME,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,80,OQ-080-01,Consent capture and privacy notice,Android,TBD,TBD by clinical SME - intentionally incomplete.,Approved?,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,80,OQ-080-02,Support caregiver view,Android,TBD,System shall complete the action without data loss.,Need SME,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,80,OQ-080-03,Sync readings to cloud API,Local DB,Medium,Data shall be encrypted in transit and at rest.,Need SME,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,80,OQ_80.4,Notification retry and suppression,Bluetooth Sensor,High,Audit/event record shall be generated where applicable.,Need SME,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,80,OQ-080-05,Consent capture and privacy notice,Bluetooth Sensor,Medium,Result must be visible in mobile UI within expected time.,In Review,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,81,OQ-081-01,Handle offline mode,iOS,Not ranked,Result must be visible in mobile UI within expected time.,Approved?,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,81,OQ-081-02,Generate high/low heart-rate alert,iOS,TBD,User shall receive clear error message on failure.,Rejected once,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,81,OQ-081-03,Show trend chart for 7/30/90 days,Android/iOS,Low,Data shall be encrypted in transit and at rest.,Need SME,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,81,OQ_81.4,Audit user actions,Local DB,High,Audit/event record shall be generated where applicable.,Pending QA,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,81,OQ_81.5,Validate sensor data range,Cloud Sync,Not ranked,Result must be visible in mobile UI within expected time.,Need SME,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,82,OQ-082-01,Capture heart rate from paired device,Local DB,High,Result must be visible in mobile UI within expected time.,Need SME,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,82,OQ-082-02,Support caregiver view,Android,High,Audit/event record shall be generated where applicable.,Pending QA,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,82,OQ_82.3,Battery and Bluetooth warning,Android,Not ranked,TBD by clinical SME - intentionally incomplete.,Need SME,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,82,OQ-082-04,Store readings securely on device,Android/iOS,Not ranked,TBD by clinical SME - intentionally incomplete.,Need SME,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,82,OQ-082-05,Audit user actions,Android/iOS,Medium,User shall receive clear error message on failure.,Approved?,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,83,OQ-083-01,Show trend chart for 7/30/90 days,Local DB,High,Data shall be encrypted in transit and at rest.,In Review,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,83,OQ-083-02,Export readings as PDF/CSV,iOS,Low,User shall receive clear error message on failure.,In Review,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,83,OQ-083-03,Consent capture and privacy notice,Notification Service,Not ranked,Audit/event record shall be generated where applicable.,Rejected once,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,83,OQ-083-04,Biometric login option,iOS,High,Audit/event record shall be generated where applicable.,Need SME,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,83,OQ-083-05,Manual heart rate entry when device unavailable,Cloud Sync,Medium,User shall receive clear error message on failure.,Rejected once,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,84,OQ-084-01,Validate sensor data range,Backend API,Medium,Audit/event record shall be generated where applicable.,Approved?,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,84,OQ-084-02,Manual heart rate entry when device unavailable,Notification Service,Not ranked,Result must be visible in mobile UI within expected time.,Pending QA,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,84,OQ-084-03,Handle offline mode,Notification Service,High,Result must be visible in mobile UI within expected time.,Approved?,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,84,OQ-084-04,Validate sensor data range,iOS,Medium,Result must be visible in mobile UI within expected time.,Draft,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,84,OQ-084-05,Manual heart rate entry when device unavailable,iOS,TBD,System shall complete the action without data loss.,Pending QA,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,85,OQ_85.1,Consent capture and privacy notice,Android,Not ranked,Result must be visible in mobile UI within expected time.,In Review,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,85,OQ-085-02,Biometric login option,Android,Low,Audit/event record shall be generated where applicable.,Approved?,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,85,OQ_85.3,Capture heart rate from paired device,Android,Medium,Data shall be encrypted in transit and at rest.,In Review,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,85,OQ-085-04,Battery and Bluetooth warning,Bluetooth Sensor,TBD,User shall receive clear error message on failure.,Pending QA,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,85,OQ-085-05,Manual heart rate entry when device unavailable,Android,Medium,Result must be visible in mobile UI within expected time.,Draft,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,86,OQ-086-01,Biometric login option,iOS,Medium,Data shall be encrypted in transit and at rest.,Need SME,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,86,OQ-086-02,Display current BPM with timestamp,Backend API,TBD,User shall receive clear error message on failure.,Need SME,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,86,OQ-086-03,Manual heart rate entry when device unavailable,Backend API,Low,TBD by clinical SME - intentionally incomplete.,Draft,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,86,OQ-086-04,Manual heart rate entry when device unavailable,Android,Medium,User shall receive clear error message on failure.,Approved?,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,86,OQ-086-05,Battery and Bluetooth warning,Bluetooth Sensor,Low,User shall receive clear error message on failure.,Draft,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,87,OQ-087-01,Audit user actions,Bluetooth Sensor,Not ranked,TBD by clinical SME - intentionally incomplete.,Pending QA,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,87,OQ-087-02,Audit user actions,Notification Service,Medium,User shall receive clear error message on failure.,Approved?,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,87,OQ-087-03,Biometric login option,Android,Low,Data shall be encrypted in transit and at rest.,Draft,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,87,OQ-087-04,Battery and Bluetooth warning,Backend API,TBD,User shall receive clear error message on failure.,Approved?,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,87,OQ_87.5,Validate sensor data range,Local DB,Low,System shall complete the action without data loss.,In Review,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,88,OQ-088-01,Battery and Bluetooth warning,iOS,High,User shall receive clear error message on failure.,Draft,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,88,OQ-088-02,Generate high/low heart-rate alert,Android,Low,System shall complete the action without data loss.,Rejected once,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,88,OQ-088-03,Show trend chart for 7/30/90 days,iOS,Not ranked,System shall complete the action without data loss.,Rejected once,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,88,OQ_88.4,Manual heart rate entry when device unavailable,Android/iOS,High,User shall receive clear error message on failure.,Approved?,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,88,OQ-088-05,Consent capture and privacy notice,Android/iOS,TBD,TBD by clinical SME - intentionally incomplete.,Draft,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,89,OQ-089-01,Validate sensor data range,Backend API,High,System shall complete the action without data loss.,Need SME,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,89,OQ_89.2,Store readings securely on device,Local DB,TBD,System shall complete the action without data loss.,In Review,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,89,OQ-089-03,Consent capture and privacy notice,Cloud Sync,Not ranked,User shall receive clear error message on failure.,Need SME,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,89,OQ-089-04,Consent capture and privacy notice,Cloud Sync,Low,Audit/event record shall be generated where applicable.,Pending QA,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,89,OQ-089-05,Notification retry and suppression,Notification Service,Not ranked,TBD by clinical SME - intentionally incomplete.,Rejected once,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,90,OQ-090-01,Validate sensor data range,Android,TBD,User shall receive clear error message on failure.,Rejected once,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,90,OQ_90.2,Show trend chart for 7/30/90 days,Bluetooth Sensor,TBD,Result must be visible in mobile UI within expected time.,Rejected once,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,90,OQ-090-03,Show trend chart for 7/30/90 days,Cloud Sync,TBD,System shall complete the action without data loss.,Need SME,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,90,OQ-090-04,Validate sensor data range,iOS,Medium,Result must be visible in mobile UI within expected time.,Need SME,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,90,OQ-090-05,Display current BPM with timestamp,Backend API,Medium,User shall receive clear error message on failure.,Need SME,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,91,OQ-091-01,Notification retry and suppression,Cloud Sync,Medium,Audit/event record shall be generated where applicable.,Approved?,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,91,OQ-091-02,Manual heart rate entry when device unavailable,Notification Service,Not ranked,System shall complete the action without data loss.,In Review,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,91,OQ-091-03,Handle offline mode,Notification Service,High,Result must be visible in mobile UI within expected time.,In Review,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,91,OQ-091-04,Display current BPM with timestamp,Bluetooth Sensor,Not ranked,TBD by clinical SME - intentionally incomplete.,Pending QA,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,91,OQ-091-05,Show trend chart for 7/30/90 days,Backend API,High,TBD by clinical SME - intentionally incomplete.,Rejected once,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,92,OQ-092-01,Manual heart rate entry when device unavailable,Notification Service,High,Data shall be encrypted in transit and at rest.,Need SME,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,92,OQ-092-02,Generate high/low heart-rate alert,Notification Service,Low,User shall receive clear error message on failure.,Pending QA,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,92,OQ_92.3,Export readings as PDF/CSV,Android/iOS,TBD,System shall complete the action without data loss.,Rejected once,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,92,OQ-092-04,Validate sensor data range,Android/iOS,TBD,Result must be visible in mobile UI within expected time.,Draft,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,92,OQ-092-05,Manual heart rate entry when device unavailable,Android/iOS,Not ranked,TBD by clinical SME - intentionally incomplete.,Rejected once,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,93,OQ-093-01,Notification retry and suppression,Cloud Sync,Low,Result must be visible in mobile UI within expected time.,In Review,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,93,OQ-093-02,Capture heart rate from paired device,iOS,TBD,TBD by clinical SME - intentionally incomplete.,Rejected once,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,93,OQ-093-03,Show trend chart for 7/30/90 days,Local DB,Low,System shall complete the action without data loss.,Draft,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,93,OQ-093-04,Capture heart rate from paired device,iOS,High,Result must be visible in mobile UI within expected time.,Rejected once,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,93,OQ-093-05,Notification retry and suppression,Notification Service,Low,Result must be visible in mobile UI within expected time.,Need SME,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,94,OQ-094-01,Handle offline mode,Bluetooth Sensor,Low,Data shall be encrypted in transit and at rest.,Rejected once,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,94,OQ-094-02,Notification retry and suppression,Android/iOS,Medium,User shall receive clear error message on failure.,Draft,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,94,OQ-094-03,Export readings as PDF/CSV,Bluetooth Sensor,Medium,Audit/event record shall be generated where applicable.,Draft,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,94,OQ-094-04,Display current BPM with timestamp,Local DB,High,Data shall be encrypted in transit and at rest.,Pending QA,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,94,OQ-094-05,Handle offline mode,Notification Service,Low,Data shall be encrypted in transit and at rest.,Approved?,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,95,OQ-095-01,Sync readings to cloud API,iOS,Low,Result must be visible in mobile UI within expected time.,Rejected once,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,95,OQ-095-02,Audit user actions,Bluetooth Sensor,Not ranked,Audit/event record shall be generated where applicable.,Draft,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,95,OQ-095-03,Biometric login option,Android,Low,System shall complete the action without data loss.,Pending QA,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,95,OQ-095-04,Capture heart rate from paired device,Bluetooth Sensor,Medium,TBD by clinical SME - intentionally incomplete.,Rejected once,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,95,OQ_95.5,Consent capture and privacy notice,Bluetooth Sensor,Not ranked,Result must be visible in mobile UI within expected time.,Pending QA,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,96,OQ_96.1,Show trend chart for 7/30/90 days,Local DB,Low,Result must be visible in mobile UI within expected time.,In Review,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,96,OQ-096-02,Display current BPM with timestamp,Notification Service,TBD,Audit/event record shall be generated where applicable.,Draft,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,96,OQ-096-03,Show trend chart for 7/30/90 days,Bluetooth Sensor,Medium,Audit/event record shall be generated where applicable.,Pending QA,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,96,OQ_96.4,Audit user actions,iOS,Low,Audit/event record shall be generated where applicable.,Need SME,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,96,OQ-096-05,Battery and Bluetooth warning,Local DB,Not ranked,Audit/event record shall be generated where applicable.,Need SME,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,97,OQ-097-01,Store readings securely on device,Local DB,TBD,System shall complete the action without data loss.,In Review,TBD
